__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_8_repetition_6,DONE,insertionsort/original.py,cython,1.914,1.593,61.917,98.557,798,609,16949248,16949248
run_9_repetition_6,DONE,mandlebrot/original.py,original,1.887,1.759,63.929,100.0,855,647,13111296,13049856
run_10_repetition_6,DONE,mandlebrot/original.py,numba,1.192,0.234,72.88,95.455,1158,191,146907136,146907136
run_11_repetition_6,DONE,mandlebrot/original.py,cython,1.19,1.321,57.955,97.459,817,533,13570048,13570048
run_12_repetition_6,DONE,nbody/original.py,original,4.07,4.442,78.223,99.184,1577,1312,10153984,10153984
run_13_repetition_6,DONE,nbody/original.py,numba,1.459,0.359,74.665,93.75,1197,210,152571904,152571904
run_14_repetition_6,DONE,nbody/original.py,cython,5.777,5.777,80.417,99.687,1917,1578,10539008,10539008
run_15_repetition_6,DONE,recur_matrix_multiplication/original.py,original,3.187,3.233,73.192,98.71,1516,1160,9912320,10108928
run_16_repetition_6,DONE,recur_matrix_multiplication/original.py,numba,3.8,1.35,85.478,100.0,2617,515,151244800,151244800
run_17_repetition_6,DONE,recur_matrix_multiplication/original.py,cython,1.494,1.616,58.302,98.316,884,457,24952832,25198592
run_18_repetition_6,DONE,richards/original.py,original,4.748,4.052,79.789,100.0,1671,1104,25964544,25665536
run_19_repetition_6,DONE,richards/original.py,numba,1.173,0.098,72.653,100.0,1290,173,147423232,147423232
run_20_repetition_6,DONE,richards/original.py,cython,5.195,5.519,82.225,98.944,2163,1331,25858048,25608192
run_21_repetition_6,DONE,spectral_norm/original.py,original,10.085,9.848,87.317,100.0,3243,2612,78036992,78036992
run_22_repetition_6,DONE,spectral_norm/original.py,numba,1.974,0.182,77.7,100.0,1614,230,356831232,438886400
run_23_repetition_6,DONE,spectral_norm/original.py,cython,8.245,8.525,88.243,100.0,2660,2206,79765504,79765504
run_0_repetition_7,DONE,binary_trees/original.py,original,4.987,4.097,87.599,100.0,2546,2339,445018112,477650944
run_1_repetition_7,DONE,binary_trees/original.py,numba,8.616,1.32,96.012,98.684,7532,704,2928410624,1681719296
run_2_repetition_7,DONE,binary_trees/original.py,cython,2.726,2.707,79.769,99.097,1501,1351,442462208,475762688
run_3_repetition_7,DONE,fannkuch/original.py,original,1.987,0.663,57.984,97.759,760,628,25473024,25137152
run_4_repetition_7,DONE,fannkuch/original.py,numba,1.445,0.125,73.902,100.0,1102,210,151298048,151298048
run_5_repetition_7,DONE,fannkuch/original.py,cython,1.377,0.995,59.027,94.444,684,325,25362432,25288704
run_6_repetition_7,DONE,insertionsort/original.py,original,1.836,1.606,62.654,97.623,779,572,16396288,16396288
run_7_repetition_7,DONE,insertionsort/original.py,numba,1.836,0.439,81.139,96.651,1520,400,147767296,147767296
run_8_repetition_7,DONE,insertionsort/original.py,cython,1.685,1.966,65.145,100.0,874,552,16760832,16760832
run_9_repetition_7,DONE,mandlebrot/original.py,original,1.694,1.922,62.709,100.0,855,609,13193216,13164544
run_10_repetition_7,DONE,mandlebrot/original.py,numba,1.076,0.165,74.044,92.5,1159,210,146792448,146792448
run_11_repetition_7,DONE,mandlebrot/original.py,cython,1.052,1.467,57.476,100.0,760,476,13406208,13660160
run_12_repetition_7,DONE,nbody/original.py,original,4.197,4.567,78.898,99.333,1520,1331,10076160,10076160
run_13_repetition_7,DONE,nbody/original.py,numba,1.55,0.299,74.728,100.0,1273,191,152576000,152576000
run_14_repetition_7,DONE,nbody/original.py,cython,5.106,5.025,79.507,99.703,1577,1331,10440704,10440704
run_15_repetition_7,DONE,recur_matrix_multiplication/original.py,original,3.034,3.028,74.767,100.0,1235,1160,9900032,10293248
run_16_repetition_7,DONE,recur_matrix_multiplication/original.py,numba,3.34,1.551,86.374,97.222,2432,495,151478272,151478272
run_17_repetition_7,DONE,recur_matrix_multiplication/original.py,cython,0.949,1.501,63.633,96.241,874,514,25251840,25300992
run_18_repetition_7,DONE,richards/original.py,original,4.602,4.002,79.282,100.0,1859,1103,25911296,25661440
run_19_repetition_7,DONE,richards/original.py,numba,1.532,0.099,67.444,100.0,1118,173,147279872,147476480
run_20_repetition_7,DONE,richards/original.py,cython,6.078,5.041,81.551,99.071,2046,1598,25587712,25530368
run_21_repetition_7,DONE,spectral_norm/original.py,original,10.07,9.692,88.034,99.697,3450,2613,77500416,77500416
run_22_repetition_7,DONE,spectral_norm/original.py,numba,1.943,0.269,81.49,91.498,1896,230,357089280,439943168
run_23_repetition_7,DONE,spectral_norm/original.py,cython,8.354,8.01,86.411,99.339,2992,2365,79425536,79425536
run_0_repetition_8,DONE,binary_trees/original.py,original,4.054,3.98,84.528,98.775,2411,2187,449699840,482217984
run_1_repetition_8,DONE,binary_trees/original.py,numba,8.421,1.062,95.909,98.846,7627,723,2939023360,1680535552
run_2_repetition_8,DONE,binary_trees/original.py,cython,2.425,2.865,80.167,99.248,1615,1312,445566976,468987904
run_3_repetition_8,DONE,fannkuch/original.py,original,1.305,1.118,67.247,100.0,950,514,25018368,25018368
run_4_repetition_8,DONE,fannkuch/original.py,numba,1.535,0.114,71.671,100.0,1102,210,151355392,151355392
run_5_repetition_8,DONE,fannkuch/original.py,cython,1.209,0.934,61.413,100.0,798,324,25239552,25239552
run_6_repetition_8,DONE,insertionsort/original.py,original,1.682,1.576,63.238,97.5,798,590,16519168,16519168
run_7_repetition_8,DONE,insertionsort/original.py,numba,1.912,0.651,80.709,97.23,1558,343,147595264,147595264
run_8_repetition_8,DONE,insertionsort/original.py,cython,1.667,2.084,64.79,98.185,875,533,16883712,16883712
run_9_repetition_8,DONE,mandlebrot/original.py,original,1.353,2.133,69.444,98.363,931,590,13123584,13078528
run_10_repetition_8,DONE,mandlebrot/original.py,numba,1.206,0.219,73.424,100.0,1140,172,147148800,147148800
run_11_repetition_8,DONE,mandlebrot/original.py,cython,1.183,1.04,59.083,100.0,779,647,13676544,13676544
run_12_repetition_8,DONE,nbody/original.py,original,4.68,4.845,78.244,100.0,1520,1647,10067968,10067968
run_13_repetition_8,DONE,nbody/original.py,numba,1.604,0.18,71.671,94.0,1102,267,152989696,152989696
run_14_repetition_8,DONE,nbody/original.py,cython,5.352,5.144,79.392,99.368,1444,1407,10534912,10534912
run_15_repetition_8,DONE,recur_matrix_multiplication/original.py,original,3.489,2.727,74.883,100.0,1235,1198,9945088,10141696
run_16_repetition_8,DONE,recur_matrix_multiplication/original.py,numba,3.167,1.467,88.036,98.0,2470,457,151855104,151855104
run_17_repetition_8,DONE,recur_matrix_multiplication/original.py,cython,1.29,1.634,61.209,100.0,779,495,25108480,25141248
run_18_repetition_8,DONE,richards/original.py,original,4.315,4.082,80.042,98.793,1596,1084,25870336,25821184
run_19_repetition_8,DONE,richards/original.py,numba,1.277,0.083,71.747,94.737,1045,172,147296256,147492864
run_20_repetition_8,DONE,richards/original.py,cython,6.176,5.519,83.903,100.0,1957,1597,25559040,25497600
run_21_repetition_8,DONE,spectral_norm/original.py,original,9.615,9.192,89.054,99.452,2964,2612,77594624,77594624
run_22_repetition_8,DONE,spectral_norm/original.py,numba,1.991,0.171,78.192,96.786,1839,248,357507072,440184832
run_23_repetition_8,DONE,spectral_norm/original.py,cython,8.692,8.281,86.681,100.0,2881,2385,79491072,79491072
run_0_repetition_9,DONE,binary_trees/original.py,original,4.275,4.046,86.085,100.0,2657,2034,446517248,479875072
run_1_repetition_9,DONE,binary_trees/original.py,numba,8.548,0.99,95.318,98.973,7589,761,2947985408,1679863808
run_2_repetition_9,DONE,binary_trees/original.py,cython,3.137,2.683,79.368,98.769,1463,1217,445968384,471158784
run_3_repetition_9,DONE,fannkuch/original.py,original,1.778,1.202,59.877,98.8,779,457,25198592,25198592
run_4_repetition_9,DONE,fannkuch/original.py,numba,1.34,0.182,70.923,94.0,1196,172,151150592,151150592
run_5_repetition_9,DONE,fannkuch/original.py,cython,1.363,0.948,64.062,100.0,912,324,25403392,25403392
run_6_repetition_9,DONE,insertionsort/original.py,original,1.793,1.697,61.917,97.581,799,571,16273408,16470016
run_7_repetition_9,DONE,insertionsort/original.py,numba,1.945,0.552,79.67,95.99,1577,343,147480576,147480576
run_8_repetition_9,DONE,insertionsort/original.py,cython,1.761,1.912,65.513,100.0,931,533,16887808,16887808
run_9_repetition_9,DONE,mandlebrot/original.py,original,1.847,1.781,62.774,97.429,912,648,13180928,13152256
run_10_repetition_9,DONE,mandlebrot/original.py,numba,1.091,0.207,67.995,100.0,1101,192,146542592,146739200
run_11_repetition_9,DONE,mandlebrot/original.py,cython,1.308,1.551,59.795,100.0,833,457,13520896,13520896
run_12_repetition_9,DONE,nbody/original.py,original,4.972,4.084,76.595,99.001,1406,1483,10162176,10162176
run_13_repetition_9,DONE,nbody/original.py,numba,1.447,0.165,73.978,93.75,1254,287,152543232,152543232
run_14_repetition_9,DONE,nbody/original.py,cython,5.126,4.705,79.524,99.312,1558,1502,10440704,10440704
run_15_repetition_9,DONE,recur_matrix_multiplication/original.py,original,2.299,2.997,77.753,99.18,1406,1141,9973760,10170368
run_16_repetition_9,DONE,recur_matrix_multiplication/original.py,numba,3.879,1.329,85.979,99.025,2242,495,150761472,150761472
run_17_repetition_9,DONE,recur_matrix_multiplication/original.py,cython,1.428,1.306,53.894,97.414,646,533,25145344,25194496
run_18_repetition_9,DONE,richards/original.py,original,4.55,4.02,79.547,100.0,1501,1103,25616384,25616384
run_19_repetition_9,DONE,richards/original.py,numba,1.117,0.106,71.55,100.0,1083,172,147095552,147095552
run_20_repetition_9,DONE,richards/original.py,cython,5.43,5.139,83.01,98.947,1862,1426,25546752,25546752
run_21_repetition_9,DONE,spectral_norm/original.py,original,9.993,10.002,88.235,99.538,2926,2441,77500416,77500416
run_22_repetition_9,DONE,spectral_norm/original.py,numba,1.845,0.167,79.512,100.0,1482,210,357167104,440135680
run_23_repetition_9,DONE,spectral_norm/original.py,cython,8.535,8.471,87.758,100.0,2527,2186,79503360,79503360
run_0_repetition_10,DONE,binary_trees/original.py,original,4.486,3.39,85.812,99.005,2223,2395,449630208,488439808
run_1_repetition_10,DONE,binary_trees/original.py,numba,8.526,0.972,95.747,97.805,7437,761,2967117824,1684447232
run_2_repetition_10,DONE,binary_trees/original.py,cython,2.702,2.179,78.908,100.0,1804,1370,440131584,475766784
run_3_repetition_10,DONE,fannkuch/original.py,original,1.795,1.446,66.62,96.172,1136,400,25219072,25219072
run_4_repetition_10,DONE,fannkuch/original.py,numba,1.482,0.197,72.618,95.0,1366,153,151580672,151580672
run_5_repetition_10,DONE,fannkuch/original.py,cython,1.68,1.039,56.007,95.767,833,324,25579520,25509888
run_6_repetition_10,DONE,insertionsort/original.py,original,1.859,1.596,61.464,98.182,999,609,16457728,16457728
run_7_repetition_10,DONE,insertionsort/original.py,numba,2.228,0.485,78.845,100.0,1666,362,147308544,147505152
run_8_repetition_10,DONE,insertionsort/original.py,cython,2.636,2.102,63.457,97.321,1042,514,16756736,16756736
run_9_repetition_10,DONE,mandlebrot/original.py,original,2.021,2.15,59.203,100.0,891,590,13082624,13082624
